LAPTO,20000
PABX MACHINE,12000
CORDLESS PHONE,2500
LED TELEVISION,45000
SCANNER,4500
FAX MACHINE,2300
HP PRINTER,5600
TELEPHONE SET,1700
DESKTOP,23000
P4 DESKTOP,19000
