2013BEN040,,9,6,5,10
2013BME017,,0,0,0,0
2013BME030,,10,21,8,36
2013BME036,,10,17,8,35
2013BME063,,10,20,7,27
2013BEN014,,8,20,5,21
2013BEN019,,9,29,5,29
2013BEN029,,9,12,6,22
2013BEN046,,10,15,6,24
2013BME038,,10,17,6,29
2014BEN201,,7,19,6,24
2014BEN203,,9,15,7,30
2014BEN204,,9,9,7,21
2014BEN208,,9,13,7,29
2014BEN212,,7,13,9,18
2014BME203,,10,20,7,36
2013BEL027,,10,21,8,40
2013BME019,,10,24,8,42
2013BEL066,,10,15,7,30
2013BEN003,,9,18,8,26
2013BEN066,,7,11,5,21
2013BME001,,10,16,8,42
2013BME002,,10,14,8,20
2013BME004,,10,15,10,26
2013BME005,,10,24,8,46
2013BME006,,10,23,9,41
2013BME007,,7,15,9,33
2013BME009,,10,19,8,39
2013BME011,,10,17,8,9
2013BME013,,10,23,9,49
2013BME014,,10,12,9,23
2013BME016,,7,19,8,40
2013BME025,,4,13,8,16
2013BME026,,10,27,8,33
2013BME027,,10,19,8,25
2013BME029,,10,15,9,21
2013BME042,,6,13,8,25
2013BME043,,7,11,7,28
2013BME050,,8,11,6,16
2013BME054,,8,13,7,32
2013BME065,,10,15,8,24
2013BME066,,10,21,9,28
2014BME201,,10,20,7,40
2014BME202,,10,19,7,33
2014BME205,,8,14,7,32
2014BME209,,9,6,7,21
2014BME211,,10,12,8,18
2013BEN042,,6,19,8,25
2013BME010,,9,19,8,26
2013BME033,,10,22,7,37
2014BEN210,,6,11,9,20
2014BME210,,10,14,7,39
